Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Gas Station,100.0,0.0048557114438384855,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Number of Islands,91.9,0.006495998665360571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,LRU Cache,86.5,0.004786836905342104,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Bus Routes,79.6,0.004749552451721753,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Longest Palindromic Substring,79.6,0.0038470789781485217,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
HARD,Trapping Rain Water,69.8,0.006802792075926791,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Course Schedule,69.8,0.00520400527949122,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Lowest Common Ancestor of a Binary Tree,69.8,0.006995148784291001,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Subarray Sum Equals K,69.8,0.004797980767213043,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Largest Rectangle in Histogram,69.8,0.005066337968256134,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
MEDIUM,Longest Substring Without Repeating Characters,69.8,0.003977890191636289,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Substring with At Most K Distinct Characters,69.8,0.005009970318318988,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
HARD,Vertical Order Traversal of a Binary Tree,69.8,0.005452632875866481,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
