Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Monotonic Array,100.0,0.00625885653067245,https://leetcode.com/problems/monotonic-array,Array
EASY,Valid Parentheses,90.3,0.004472564770718473,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,Department Top Three Salaries,83.4,0.006139920040329563,https://leetcode.com/problems/department-top-three-salaries,Database
MEDIUM,Decode String,83.4,0.006309049123470236,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Merge Intervals,73.7,0.005257653378270721,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Best Time to Buy and Sell Stock,73.7,0.00572513154526733,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Anagram,73.7,0.006853252743097908,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,73.7,0.003977953357193677,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,73.7,0.005800959235324353,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Squares of a Sorted Array,73.7,0.007406495518277748,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
